TUM Study Programs
Source: portfolio page
Found: 352 programs
Date: scan output — use Ctrl+F to find programs of interest
========================================================================================================================

    ID  Title
------------------------------------------------------------------------------------------------------------------------
  4941  &nbsp;
  4598  16 142 Automotive Software Engineering (20161, Masterstudium, laufend)
  5128  16 143 Biomedical Computing (20221, Masterstudium, laufend)
  5018  16 160 Lebensmittelchemie (20221, Masterstudium, laufend)
  5216  16 167 Finance and Information Management (FIM) (20241, Masterstudium, laufend)
  3062  16 168 Elitestudiengang Finance & Information Management (0, Masterstudium, laufend)
  2777  16 185 Elitestudiengang Software Engineering (0, Masterstudium, laufend)
  5412  16 244 AI in Society (20251, Masterstudium, laufend)
  5390  16 261 Management (20251, Masterstudium, laufend)
  5192  16 265 Politics & Technology  (20231, Masterstudium, laufend)
  5193  16 266 Politics & Technology (66%) (20231, Masterstudium, laufend)
  4685  16 267 Management & Innovation (Munich) (20181, Masterstudium, laufend)
  5394  16 268 Masterstudiengang Management am Campus Heilbronn (20251, Masterstudium, laufend)
  4717  16 269 Management & Innovation (Heilbronn) (20181, Masterstudium, laufend)
  5386  16 274 Management and Technology (20251, Masterstudium, laufend)
  5097  16 275 Vocational Education and Innovation (20221, Masterstudium, laufend)
  5205  16 277 Management and Digital Technology (20241, Masterstudium, laufend)
  5364  16 279 Data & Society (20241, Masterstudium, laufend)
  5367  16 297 Health Science - Prevention and Health Promotion (20241, Masterstudium, laufend)
  5368  16 299 Sport and Exercise Science (20241, Masterstudium, laufend)
  5181  16 300 Risk and Safety (20231, Masterstudium, laufend)
  5180  16 310 Bauingenieurwesen (20231, Masterstudium, laufend)
  5339  16 311 Ingenieur-  und Hydrogeologie (20241, Masterstudium, laufend)
  4945  16 313 Transportation Systems (20211, Masterstudium, laufend)
  4990  16 319 Urbanistik - Landschaft und Stadt (20211, Masterstudium, laufend)
  5190  16 321 Ressourceneffizientes und Nachhaltiges Bauen (20231, Masterstudium, laufend)
  4701  16 322 GeoThermie / GeoEnergie (20181, Masterstudium, laufend)
  4818  16 323 Rail, Transport and Logistics (20191, Masterstudium, laufend)
  4331  16 324 Transport and Logistics (Parttime, 50%) (20141, Masterstudium, laufend)
  5260  16 327 Human Factors Engineering (20241, Masterstudium, laufend)
  4947  16 331 Computational Mechanics (20211, Masterstudium, laufend)
  4994  16 332 Geodäsie und Geoinformation (20221, Masterstudium, laufend)
  5398  16 334 Land Management and Geospatial Science (20251, Masterstudium, laufend)
  5343  16 400 Maschinenwesen (20241, Masterstudium, laufend)
  4949  16 415 Chemie-Ingenieurwesen (20211, Masterstudium, laufend)
  4298  16 427 Aerospace Engineering (20121, Masterstudium, laufend)
